feature,importance
loc_company_target_mean,15527.2
edu_job_target_mean,13835.0
experience_x_skills,11368.8
industry_target_mean,10550.4
skills_per_year,9632.6
job_company_target_mean,9615.8
aggregated_score_abs,9277.6
location_target_mean,9215.2
agg_decile_education_target_mean,8216.4
agg_decile_job_target_mean,8186.4
agg_x_certifications_plus1,7998.6
remote_work_target_mean,7886.6
experience_years,7877.8
edu_company_target_mean,7535.8
agg_x_experience,7105.0
agg_decile_company_target_mean,6924.6
agg_per_experience_plus1,6920.0
agg_x_skills,6916.4
certifications_per_year,6899.8
aggregated_score_ventile_target_mean,6858.6
agg_decile_skill_target_mean,6656.6
agg_per_skill_plus1,6574.4
job_title_target_mean,6236.8
skills_count,5046.6
aggregated_score_decile_target_mean,3884.8
certifications,3476.6
education_level_target_mean,3365.8
company_size_target_mean,2720.2
skill_bracket_target_mean,2663.0
aggregated_score_tail_band_target_mean,2094.8
skill_bracket_ord,861.0
education_level_ord,645.2
company_size_ord,378.0
remote_work_missing,247.6
