model,accuracy,precision_Large,recall_Large,f1_Large,precision_Medium,recall_Medium,f1_Medium,precision_No_Vacation,recall_No_Vacation,f1_No_Vacation,precision_Small,recall_Small,f1_Small
HistGradientBoosting,0.761125,0.7771883289124668,0.7410217501264542,0.7586742620403936,0.5434322033898306,0.4812382739212008,0.5104477611940299,0.8736680215313632,0.917089483394834,0.8948523206751055,0.5550576184379001,0.5386766076421249,0.5467444426927321
CatBoost_native,0.760625,0.7920087575259989,0.7319170460293374,0.7607781282860148,0.5343434343434343,0.49624765478424016,0.5145914396887159,0.8791624902550396,0.9102859778597786,0.8944535720355787,0.5510267579340385,0.5501708605156881,0.5505984766050055
LightGBM_multiclass,0.7603125,0.7777185501066098,0.7379868487607486,0.7573319491305476,0.5363010068892422,0.474671669793621,0.5036078626524011,0.8736818980667839,0.9172047970479705,0.8949144914491449,0.5553782317267795,0.5405405405405406,0.5478589420654912
CatBoost_V1_FE_keepraw,0.7590625,0.7900763358778626,0.7329286798179059,0.7604303332458672,0.53125,0.4704502814258912,0.49900497512437814,0.8783468503499611,0.911669741697417,0.8946981270865162,0.545315837656393,0.5551413482447966,0.5501847290640394
CatBoost_V1_FE_dropagg,0.758875,0.7905959540732641,0.7314112291350531,0.7598528638991067,0.5302869287991498,0.46810506566604126,0.49725959142999504,0.8757030991507665,0.915590405904059,0.8952026608038784,0.5456238361266295,0.5461323392357875,0.5458779692594318
CatBoost_V1_FE_dropcert,0.7579375,0.789186237028946,0.7309054122407689,0.7589285714285714,0.5284725918041512,0.46575984990619135,0.4951383694839192,0.8752068851373718,0.9146678966789668,0.8945023963913166,0.544468546637744,0.5458216837527182,0.5451442755197021
ExtraTrees_balanced,0.74325,0.7768421052631579,0.7465857359635811,0.761413464018571,0.5103896103896104,0.5530018761726079,0.5308419630796938,0.9208449987274115,0.834409594095941,0.8754990925589836,0.5089013224821973,0.6216216216216216,0.5596420081107537
RandomForest_balanced,0.7428125,0.7698788836229594,0.7395042994436014,0.7543859649122807,0.5075488454706927,0.5361163227016885,0.521441605839416,0.9137005120519546,0.8436346863468634,0.8772708195935008,0.5111920874544508,0.6101273687480584,0.5562951423311145
DecisionTree_depthNone_leaf100,0.7255625,0.7631027253668763,0.7364693980778958,0.7495495495495496,0.49417637271214643,0.5572232645403377,0.5238095238095238,0.923963438866075,0.8043127306273062,0.8599963010911781,0.4807924619473303,0.6182044113078596,0.5409078553954879
DecisionTree_depth8_leaf30,0.7100625,0.7593945720250522,0.7359635811836115,0.7474955047521192,0.48137417218543044,0.5454971857410882,0.5114335971855761,0.9288168201181806,0.7794049815498155,0.8475766505737037,0.4518332953769073,0.616340478409444,0.521419185282523
DecisionTree_depth4_leaf20,0.6614375,0.8613595706618963,0.48710166919575115,0.6222940226171244,0.36848891181021143,0.6702626641651032,0.475540765391015,0.7807035175879397,0.8957564575645757,0.8342820320051552,0.40132827324478176,0.13140726933830382,0.19798736250877605
Dummy_most_frequent,0.542,0.0,0.0,0.0,0.0,0.0,0.0,0.542,1.0,0.7029831387808041,0.0,0.0,0.0
